(
( 2.87115e-22 3.75188e-08 5.72395e-05 9.2321e-06 )
( 3.55794e-05 3.13133e-08 5.72903e-05 0.000226328 )
( 0.00027524 -1.06592e-08 5.7298e-05 0.0016888 )
( 0.000719051 -8.87391e-08 5.7341e-05 0.00439716 )
( 0.0011985 -1.72996e-07 5.72941e-05 0.00732348 )
( 0.00164036 -2.51317e-07 5.74348e-05 0.0100209 )
( 0.00212017 -3.36169e-07 5.7311e-05 0.0129507 )
( 0.00255817 -4.1448e-07 5.75771e-05 0.015626 )
( 0.00303852 -4.99819e-07 5.73741e-05 0.0185612 )
( 0.00347078 -5.77732e-07 5.77208e-05 0.0212035 )
( 0.00395188 -6.63367e-07 5.74353e-05 0.0241459 )
( 0.00437661 -7.40474e-07 5.78356e-05 0.026745 )
( 0.00485859 -8.26155e-07 5.74625e-05 0.0296961 )
( 0.00527412 -9.02033e-07 5.78863e-05 0.0322418 )
( 0.00575711 -9.87438e-07 5.74189e-05 0.0352028 )
( 0.00616187 -1.06167e-06 5.78318e-05 0.0376857 )
( 0.00664595 -1.14643e-06 5.72609e-05 0.0406573 )
( 0.00703854 -1.21862e-06 5.76251e-05 0.0430688 )
( 0.00752377 -1.30229e-06 5.69397e-05 0.0460516 )
( 0.00790294 -1.37208e-06 5.72151e-05 0.0483837 )
( 0.00838935 -1.45414e-06 5.64006e-05 0.0513776 )
( 0.00875401 -1.5211e-06 5.65441e-05 0.0536235 )
( 0.00924163 -1.60092e-06 5.55802e-05 0.0566285 )
( 0.00959089 -1.66464e-06 5.55488e-05 0.058782 )
( 0.0100797 -1.74161e-06 5.44107e-05 0.0617977 )
( 0.0104129 -1.80171e-06 5.41641e-05 0.063854 )
( 0.0109029 -1.87528e-06 5.28224e-05 0.0668801 )
( 0.0112194 -1.93143e-06 5.23246e-05 0.0688352 )
( 0.0117107 -2.00121e-06 5.07442e-05 0.0718714 )
( 0.0120102 -2.05311e-06 4.99656e-05 0.0737225 )
( 0.0125029 -2.11896e-06 4.81069e-05 0.0767687 )
( 0.0127852 -2.16637e-06 4.70265e-05 0.078514 )
( 0.0132795 -2.22847e-06 4.48459e-05 0.0815706 )
( 0.0135445 -2.27121e-06 4.34543e-05 0.0832094 )
( 0.0140407 -2.33007e-06 4.0909e-05 0.0862771 )
( 0.0142886 -2.36798e-06 3.92112e-05 0.0878095 )
( 0.0147871 -2.42439e-06 3.62628e-05 0.0908902 )
( 0.0150181 -2.45725e-06 3.42787e-05 0.092317 )
( 0.0155196 -2.51222e-06 3.0897e-05 0.0954134 )
( 0.0157339 -2.53982e-06 2.86629e-05 0.0967361 )
( 0.0162392 -2.59467e-06 2.48328e-05 0.0998522 )
( 0.0164372 -2.61692e-06 2.24018e-05 0.101073 )
( 0.0169474 -2.67343e-06 1.81313e-05 0.104214 )
( 0.0171297 -2.69043e-06 1.55731e-05 0.105335 )
( 0.0176461 -2.75102e-06 1.09035e-05 0.108508 )
( 0.0178129 -2.7632e-06 8.30272e-06 0.109532 )
( 0.0183374 -2.831e-06 3.31749e-06 0.112747 )
( 0.0184891 -2.83915e-06 7.718e-07 0.113675 )
( 0.0190238 -2.91812e-06 -4.39427e-06 0.116942 )
( 0.0191607 -2.92354e-06 -6.77821e-06 0.117778 )
( 0.0197081 -3.01859e-06 -1.19371e-05 0.12111 )
( 0.0198303 -3.02331e-06 -1.40443e-05 0.121854 )
( 0.0203935 -3.14056e-06 -1.89592e-05 0.125268 )
( 0.020501 -3.14747e-06 -2.06629e-05 0.12592 )
( 0.0210836 -3.29453e-06 -2.50813e-05 0.129436 )
( 0.0211762 -3.30723e-06 -2.62242e-05 0.129995 )
( 0.0217824 -3.49324e-06 -2.99715e-05 0.133632 )
( 0.0218596 -3.51426e-06 -3.02943e-05 0.134095 )
( 0.0224943 -3.74796e-06 -3.34992e-05 0.137876 )
( 0.022555 -3.77289e-06 -3.24142e-05 0.138238 )
( 0.0232241 -4.05106e-06 -3.59745e-05 0.142162 )
( 0.0232668 -4.05725e-06 -3.18792e-05 0.142412 )
( 0.0239769 -4.31454e-06 -3.78286e-05 0.146348 )
( 0.0239997 -4.30654e-06 -2.24258e-05 0.146462 )
( 0.0247585 -4.39196e-06 -1.46822e-05 0.149193 )
